,game_id,away_score,home_score,total,total_line,result,spread_line,ewma_dynamic_window_rushing_offense_home,ewma_dynamic_window_passing_offense_home,ewma_dynamic_window_rushing_defense_home,ewma_dynamic_window_passing_defense_home,ewma_dynamic_window_rushing_offense_away,ewma_dynamic_window_passing_offense_away,ewma_dynamic_window_rushing_defense_away,ewma_dynamic_window_passing_defense_away,home_spread_hit,over_hit,home_team_win,pred_total,pred_result,pred_hometeam_winner,spread_hit,over_under_hit
157,2000_14_ARI_CIN,13,24,37,38.5,11.0,4.0,-0.0439928455716693,-0.2445921989536734,-0.1225634764548183,0.1633217801719921,-0.1772653229027031,-0.1337573053594138,0.0298833615298559,0.2058529642943637,1,0,1,40.70705392174482,2.977475031438955,1,0,0
1935,2008_17_KC_CIN,6,16,22,40.0,10.0,1.5,-0.1886862344220242,-0.1102539109286496,-0.0875134485356542,0.0284648809923798,-0.0030280295701906,-0.0429504302855432,-0.0252840233142772,0.1120327050240542,1,0,1,42.46783157952606,-0.3509296589954012,1,0,0
486,2002_06_NO_WAS,43,27,70,45.5,-16.0,-1.5,-0.0646042511104529,0.0254981492127353,-0.0148603168084336,-0.1128683351016746,-0.1193252845752401,0.0215404273998711,-0.1120799592790399,0.1237658241143674,0,0,0,44.51276826222256,5.387754071973449,1,0,0
3735,2016_19_GB_DAL,34,31,65,52.5,-3.0,5.5,0.0073365267598092,0.1225648971705054,-0.0882093558486491,0.0336931647891162,-0.0379643732285705,0.2039172604357866,-0.06167643205924,0.0612306090453761,0,0,0,49.01929783251107,1.751800121882778,1,1,0
3409,2015_11_TB_PHI,45,17,62,46.0,-28.0,7.0,-0.0409481831771275,-0.0222397208782118,-0.0744627542310733,-0.0641525715646155,-0.1211125130902647,0.0197333272274768,-0.1955030981837754,0.1149430026297085,0,0,0,42.926239465503606,3.5275875550675244,1,1,0
2035,2009_07_CHI_CIN,10,45,55,42.5,35.0,-1.0,-0.0387474903000917,-0.0491478852803122,-0.180613678275702,0.0925411123075183,-0.1295251849168553,-0.0192516180261466,-0.0872348896879036,0.0287297732464446,1,0,1,41.807499637111036,2.435809119622675,1,1,0
1102,2005_03_ATL_BUF,24,16,40,36.0,-8.0,3.0,-0.131960613079955,-0.0929354597194971,-0.1432056070979635,-0.3262028504799218,0.0809856179268647,-0.1724379587775287,-0.0906038692247047,0.0169243081063033,0,0,0,37.78955547770673,5.344450109367701,1,0,1
3454,2015_15_KC_BAL,34,14,48,41.0,-20.0,-6.5,-0.1894883302735766,-0.0101755173370417,-0.1505158527056571,0.1355111461363367,0.013465856794883,0.0337895912006019,-0.1484867161806082,-0.0766573800923351,0,0,0,42.26590343931511,-4.469720232655865,0,0,1
2857,2013_02_MIN_CHI,30,31,61,41.0,1.0,6.0,-0.0817318622151608,-0.0368709537321497,-0.2251425255386303,-0.0224067192194653,-0.0041752549851003,-0.059437669038451,-0.1543629012417137,0.0987364509849183,0,0,1,40.95211538268333,3.0901522483845967,1,1,0
4947,2021_13_IND_HOU,31,0,31,45.5,-31.0,-10.0,-0.1440715494828128,-0.1433279902771111,-0.0209745590656701,0.0829000050916966,0.1281348248432012,0.0899261775903184,0.0235015823565352,0.0272824966788114,0,0,0,45.31478593546968,-7.020877940834151,0,0,1
84,2000_08_NO_ATL,21,19,40,40.0,-2.0,-1.5,-0.2976836337888144,-0.1179870130006179,-0.007095489208207,0.1639011636675125,-0.1294454401482413,-0.0578859902933333,-0.1831815007002313,-0.1662296304884075,0,99,0,38.77803853802183,-6.882711288954422,0,1,0
4387,2019_11_DEN_MIN,23,27,50,40.5,4.0,10.0,-0.0495109003330688,0.2732735987283584,-0.1243780317619889,0.015578373947169,-0.0262724659522198,-0.1373778210998139,-0.1502746153124516,-0.0135604248374895,0,0,1,43.883592175977675,9.310535859139033,1,1,1
3277,2014_19_CAR_SEA,17,31,48,40.0,14.0,13.5,0.0284310196438166,0.0768467219012515,-0.2130839754724746,-0.1938782826776352,-0.0272796250877043,-0.0198421376741565,-0.0962800743723457,-0.084020368353414,1,0,1,41.397052101783736,7.067428519386265,1,0,1
890,2004_03_JAX_TEN,15,12,27,34.5,-3.0,6.0,-0.0353808237037199,0.0702059544982202,-0.0204258092277881,-0.042673975350846,-0.0534601947855298,-0.0900287275350663,-0.2280829280187842,0.0998839287617817,0,0,0,43.01110215723009,5.320636956189447,1,1,0
692,2003_05_DEN_KC,23,24,47,46.5,1.0,3.5,0.0227147991500184,0.0936781478801232,-0.0620041204808978,-0.102627620783344,0.0700148399024877,0.14621710201173,-0.0560415535672105,-0.0900139855161344,0,0,1,46.618002928610174,0.5561560093715996,0,1,1
722,2003_08_DEN_BAL,6,26,32,36.5,20.0,2.5,-0.0189039619560765,-0.0489364834484561,-0.0728059310195132,-0.0206498212465555,0.0180164935409991,0.0167477961086565,-0.096211924935715,-0.0370754085045536,1,0,1,42.904195356476215,-0.5249787909591492,0,0,0
882,2004_02_MIA_CIN,13,16,29,40.0,3.0,5.5,-0.0403819295336866,0.1469139348029414,0.0789990411956903,0.1595073972020461,-0.0704025602832058,-0.114323711154156,-0.108523862548967,-0.0576766118479262,0,0,1,44.9013841600569,3.279029654982288,1,1,0
2900,2013_05_CAR_ARI,6,22,28,41.0,16.0,-3.0,-0.1878976942409687,-0.2705792847301732,-0.1813275456672247,0.0144873652856146,0.038062041380344,0.1511465705243591,-0.1117347484964054,-0.0529302384041424,1,0,1,40.456821725792956,-10.062035030579176,0,0,1
29,2000_03_CIN_JAX,0,13,13,41.0,13.0,13.0,-0.1120659477229727,0.1806145203243214,-0.1117934243602693,-0.1009127464681187,0.0508877663018177,-0.1090312072634334,-0.1734929038323237,0.1983113618203758,99,0,1,44.541609108505384,8.745310681422879,1,0,0
3182,2014_11_ATL_CAR,19,17,36,46.5,-2.0,-2.5,-0.1010595701428931,-0.1032260886372699,-0.0527987383198094,0.1386990666025877,-0.0749799981460216,0.0869459406394892,-0.0798599730610145,0.2190344483300006,1,0,0,45.89205906831281,-1.5217479457480394,0,1,1
3352,2015_06_ARI_PIT,13,25,38,45.0,12.0,-5.5,-0.0596774878277794,0.1075516597835407,-0.1834810282579534,0.047321769199935,-0.001131926749876,0.1359407225099891,-0.1442861177620004,-0.192742656026677,1,0,1,43.995174023442964,-2.043165635808988,0,1,1
1567,2007_04_PHI_NYG,3,16,19,47.5,13.0,-2.0,0.0033303670567695,-0.0542075761573582,-0.1258371873934163,0.2123209336658259,0.0397443698696097,0.1530454142307277,-0.079587146702787,-0.0599340559505549,1,0,1,45.6319522787736,-6.30445991629448,0,0,1
3738,2016_20_PIT_NE,17,36,53,49.5,19.0,5.5,-0.0619041526702507,0.2056910620628213,-0.1184897242566325,-0.1149014479963011,-0.0156409973239579,0.1217510813004173,-0.1019529301969536,-0.0098090061857859,1,0,1,46.749513093267126,5.000953898695297,1,0,0
4312,2019_05_GB_DAL,34,24,58,46.5,-10.0,3.5,-0.0281144858800847,0.188036451387442,-0.0917204847383552,-0.0064718821354282,-0.0196183799861676,0.0496898442693701,0.0107505384970331,0.0535040439662037,0,0,0,47.75479784410794,6.56406757290641,1,0,1
3981,2017_18_ATL_LA,26,13,39,48.0,-13.0,6.5,-0.0704704329209687,-0.0035944234752697,-0.0397022191632555,-0.075640515114683,-0.1426440689865572,0.1807089551093733,-0.0726159372322082,0.0120176239626021,0,0,0,45.647050103634996,0.7691080565250528,0,1,1
556,2002_12_CLE_NO,24,15,39,48.5,-9.0,5.5,-0.0553408252195257,0.0775791377724414,-0.0632733514495924,0.082390307649035,-0.1490955176310655,0.0177676723628973,-0.0391343646602918,0.0277113316519668,0,0,0,45.208286193633505,4.313800915638229,1,1,1
3015,2013_15_NE_MIA,20,24,44,46.5,4.0,2.5,-0.1133056256909482,0.0267346578915641,-0.0212064186682659,-0.0623925081678464,-0.0698788025578174,0.1598445250228624,0.0323709781942512,0.0734671419939806,1,0,1,47.50032311124641,1.601162623674635,1,0,0
414,2001_18_BAL_MIA,20,3,23,33.0,-17.0,2.5,-0.1001857042490687,0.0047560990593042,-0.0943892744759766,-0.0608823338301411,-0.1285207831690898,-0.1036868007903792,-0.1586315980002538,-0.2030484325269335,0,0,0,38.403166125328866,2.445933657415423,1,1,0
2439,2011_04_BUF_CIN,20,23,43,41.5,3.0,-3.0,-0.1800410574389072,0.0195529144992028,-0.1197413948188581,-0.0231212681564468,-0.0337193238458697,-0.0145433999151577,-0.0159134371904165,0.0545258421050757,1,0,1,43.45473229429349,2.8642293361685827,1,1,1
1850,2008_10_GB_MIN,27,28,55,44.0,1.0,2.5,-0.1106573096394768,-0.0439044683026432,-0.2474533178644237,-0.019421267384811,-0.1280717266241768,0.1272883417915262,0.0638940106746723,-0.1924733427468241,0,0,1,41.831062092057785,-0.17697000203564883,0,1,0
1783,2008_04_WAS_DAL,26,24,50,47.0,-2.0,10.0,-0.0452460210947554,0.2064567845766565,-0.124160620401102,0.0750608331163983,-0.1419712986709744,0.0853196765897923,-0.1047177900243571,-0.0719639957458353,0,0,0,45.9512422561167,4.516272276076659,1,1,0
832,2003_16_ARI_SEA,10,28,38,44.5,18.0,15.5,-0.0307551578819318,0.1121764767531036,-0.0980677250265324,0.0896128913093479,-0.1546158507388629,-0.2207289019408946,-0.059782326759601,0.2054190367323741,1,0,1,43.29789965762599,12.034920338430787,1,0,1
1882,2008_13_SEA_DAL,9,34,43,46.0,25.0,11.5,-0.1250376436769069,0.054456741383661,-0.1404442945786075,0.0051086541647679,-0.0309436887716115,-0.1238199304324902,-0.0707301642715168,0.1142779654874334,1,0,1,42.54695644454444,6.1915338189129,1,0,1
1026,2004_14_DET_GB,13,16,29,41.0,3.0,9.0,-0.0481813874461372,0.2176420200228701,-0.1104236161654806,0.1118554163284848,-0.0258329372990031,-0.1737394646825404,-0.0764352421149182,0.0649793067643064,0,0,1,44.49957627818981,9.024661826031618,1,0,0
1392,2006_09_CIN_BAL,20,26,46,41.5,6.0,3.0,-0.1422302346361863,-0.0054104028767161,-0.3356024078255489,-0.1378736111459919,-0.0757113371940031,0.0783719546497842,-0.0222352266690283,0.1895403932827267,1,0,1,43.13220035394582,6.53889622681382,1,1,1
4815,2021_04_IND_MIA,27,17,44,41.5,-10.0,2.5,-0.0832977412175238,-0.0708937400927369,-0.0393850379397387,0.0411792156212455,0.0589965861570146,0.0351747753676213,-0.0798185075415277,0.1307159005075651,0,0,0,45.09130556735204,-1.6428651848815767,0,1,1
3657,2016_12_NE_NYJ,22,17,39,48.0,-5.0,-9.0,-0.0119962785751959,-0.0479973366110527,-0.2149502738466907,0.0804926414363462,-0.0768396046127568,0.2459988521886141,-0.0597104207045691,0.0709703932944246,1,0,0,46.38528851760016,-1.8545464233285651,0,1,1
2933,2013_08_MIA_NE,17,27,44,46.5,10.0,6.5,-0.0924209967295107,0.0771615634192657,-0.0355177451541275,-0.023881590696792,-0.1599269949062182,-0.061961505815389,-0.0594888600681329,0.1170060766028391,1,0,1,44.20269551699692,7.745390004829153,1,1,1
3406,2015_11_DEN_CHI,17,15,32,41.5,-2.0,-2.5,-0.0966556767405929,0.084217472232489,-0.0850341094542132,0.0123522481442659,-0.1382218866112972,-0.0310418849245273,-0.1003033840339019,-0.1694075755984417,1,0,0,41.66874038129295,2.8688933367128375,1,1,0
706,2003_06_TB_WAS,35,13,48,37.0,-22.0,-3.5,0.004658799898387,-0.0576366219981511,-0.0955386662308449,-0.0829505147376322,-0.1356929493455943,0.2008171943891006,-0.0594883091634538,-0.2914955550199379,0,0,0,42.39641607027885,-3.1046665619684792,0,0,1
2115,2009_14_NO_ATL,26,23,49,50.5,-3.0,-10.0,-0.0721677034220406,0.021164592676614,-0.0655861576904389,0.2147859482527197,-0.0465548325060035,0.356362468263878,0.0615398057242281,-0.1148173944917492,1,0,0,50.10336640837294,-7.722044608159482,0,1,1
23,2000_02_DAL_ARI,31,32,63,38.5,1.0,3.0,-0.1539196716809565,-0.1364095162604151,0.1010921407671786,0.0924414503837472,0.005805170848592,-0.1207861809330005,-0.0118871667559972,-0.0214548195905282,0,0,1,42.05873000275855,-3.0409170472473437,0,1,1
4607,2020_08_LAC_DEN,30,31,61,44.5,1.0,-3.0,-0.0975600310037295,-0.1634695919655023,-0.0403512731816414,-0.0603348749421608,-0.1675590459703512,0.1832295275467124,-0.0833052556775697,0.0522750957853935,1,0,1,43.765453223287935,-2.438596130316103,0,1,0
1341,2006_04_SF_KC,0,41,41,39.0,41.0,7.0,0.0388092421471993,0.0693830343789369,-0.0384944494050581,-0.0453688537538221,-0.1365399706929968,-0.0987782325238859,-0.0071190930333568,0.0880262388483642,1,0,1,44.1745634071017,9.847475586527862,1,1,1
2128,2009_15_DAL_NO,24,17,41,53.5,-7.0,7.5,-0.0367191140735256,0.3522940921245612,0.056468440406767,-0.0680071766720191,-0.0265182163423644,0.1289637191569195,-0.1310514892456414,0.0524426158864181,0,0,0,50.9320208650276,6.971986212109787,1,1,1
1584,2007_06_HOU_JAX,17,37,54,37.0,20.0,6.5,0.0449148513788794,0.1010624434158069,-0.162387742136042,-0.0226249136115245,-0.0875271358146763,-0.0533865217822478,-0.0453523399909026,0.0569653810718445,1,0,1,43.92691468262287,8.808906239544745,1,1,1
1045,2004_16_CHI_DET,13,19,32,37.0,6.0,6.0,-0.0112896239607475,-0.1601380712781361,-0.0719635771399445,0.1017840154926445,-0.2289971302739285,-0.3355476669349991,-0.1244675537758121,-0.0847026781962331,99,0,1,34.98586624901993,5.202240975039354,1,0,1
2588,2011_16_NYG_NYJ,29,14,43,45.5,-15.0,1.5,-0.0544489386155024,-0.0694699615302246,-0.1324919287510287,-0.0568164550126511,-0.0977775162656581,0.0926069827946205,-0.0117774850107323,0.168280042167215,0,0,0,44.881353990671535,3.40163223229428,1,0,1
4904,2021_10_NO_TEN,21,23,44,44.0,2.0,3.0,0.036583167098103,0.13023080135658,0.0256394259972581,-0.0428987669742239,-0.0621844499554321,0.0215201842399504,-0.1755931809710093,0.0293324718177621,0,99,1,45.874286180055854,4.774907810769488,1,0,0
1322,2006_02_WAS_DAL,10,27,37,37.0,17.0,7.0,-0.091445244387296,-0.0438768456909641,-0.06168885552722,0.0434564359019605,-0.0911707796189768,-0.0037094080537629,-0.1712948333246076,-0.0022374308204544,1,99,1,42.00846936509609,-0.3685496713838412,0,0,0
4805,2021_03_MIA_LV,28,31,59,45.0,3.0,4.0,-0.1509821730089092,0.1647530299654379,-0.062291147869262,0.163969864590765,-0.0783494321053686,-0.0768332980834306,0.0016054713307954,0.0183251318462566,0,0,1,45.50381645074559,4.860795472574496,1,0,1
2884,2013_04_IND_JAX,37,3,40,42.5,-34.0,-9.5,-0.1649945276828147,-0.208584088209437,-0.0564948803601683,0.0753857102613293,0.0496933066876766,0.0514633111290124,0.0074513026736315,0.0686748829290083,0,0,0,43.33861000957537,-5.936603703229421,0,0,0
3529,2016_02_IND_DEN,20,34,54,47.0,14.0,5.0,-0.1444799266710764,-0.1376248609559555,-0.1681460036441857,-0.1153847022907519,-0.1392050401066552,-0.0032979342501569,-0.0065223811490876,0.0688731388185358,1,0,1,40.56397550996741,3.326186813060798,1,0,0
296,2001_08_PHI_ARI,21,7,28,39.5,-14.0,-7.0,-0.2020377114066643,-0.0202360154757613,0.0348250719361891,0.0094886525218821,-0.0441966932982654,-0.1077224221577456,-0.082401849287104,-0.1364369460534897,0,0,0,40.73709907587512,-0.9418050375992739,0,0,0
539,2002_11_CLE_CIN,27,20,47,41.5,-7.0,-3.0,-0.0315059562256308,-0.0003523664715527,-0.0585063420382382,0.06504812012923,-0.155913546621106,-0.0621288899465857,-0.0393158161926329,0.017745908682793,0,0,0,42.93764225297018,4.600127898697371,1,0,1
3275,2014_18_DET_DAL,20,24,44,47.5,4.0,6.0,-0.0314657924493604,0.3149222606126122,-0.1062189713685378,0.014174885875342,-0.1138152578604119,0.0302027529812779,-0.276225066940983,0.0373567001188062,0,0,1,46.23404020329656,7.963849211010137,1,0,1
1919,2008_15_NYG_DAL,8,20,28,46.5,12.0,3.0,-0.115718889124922,0.0391744813234927,-0.2000331173862299,-0.0366389671296462,-0.0243810148412525,0.0926763193883951,-0.1252629513834952,-0.056899018968029,1,0,1,42.96414921854035,0.20782176611026326,1,0,1
2562,2011_14_PHI_MIA,26,10,36,44.5,-16.0,3.0,-0.0831993062147045,0.0536600822941147,-0.1803095202472002,0.0035862284416411,0.1025433652507057,-0.0385264106166448,-0.0835536101652136,0.1840052515263249,0,0,0,44.775955370435625,3.9240759449797618,1,0,0
4141,2018_11_KC_LA,51,54,105,63.5,3.0,3.0,0.0398654394874271,0.2586229851607606,0.0247011661157995,0.0744694051986795,0.0332505994661107,0.352205330059299,0.0816645470302615,-0.0564677186055679,99,0,1,54.71713092660097,-0.3648364579151937,0,0,0
2275,2010_09_NO_CAR,34,3,37,40.0,-31.0,-5.5,-0.2817221253974964,-0.1477059338632572,-0.1485163538466842,-0.1476961648690496,-0.1851735070442742,0.1328649235667642,-0.0682321398704425,-0.0709796402317727,0,0,0,40.022902217189944,-2.2506369056005,0,0,0
1724,2007_17_PIT_BAL,21,27,48,34.5,6.0,-3.0,-0.1705511519998969,-0.1123626802802389,-0.1808783317911498,0.1226234267778372,-0.0650721746890594,0.1986811912112031,-0.142962730886289,-0.0540912539151847,1,0,1,43.04245034198034,-7.526964127080964,0,0,1
1877,2008_12_NYG_ARI,37,29,66,48.0,-8.0,-3.0,-0.1678825687415299,0.2428236390451791,-0.1706454177619731,-0.0361552580140269,0.0359142558875867,0.0774330758981536,-0.1037723328017091,-0.1506749546792314,0,0,0,45.0177599414327,2.1380710896057367,1,0,0
2158,2009_17_PIT_MIA,30,24,54,46.0,-6.0,-3.0,-0.0020422939497151,0.0226935464055718,-0.0080461555170808,0.0597851896684249,-0.1087600222426372,0.0751721247895643,-0.0592501642843896,-0.0622737136230916,0,0,0,45.19101054120935,0.6008658410865118,0,0,0
2407,2011_01_CAR_ARI,21,28,49,37.5,7.0,6.5,-0.1423670320095449,-0.2804307663086919,-0.0845284947123877,-0.0132926439845096,-0.1278188197296787,-0.3057140307653349,-0.1275237937569073,0.0208060141745629,1,0,1,34.13858681851155,1.9172263385534536,1,0,0
4267,2019_02_DAL_WAS,31,21,52,46.5,-10.0,-6.0,-0.1721081288604746,-0.0647594619885516,-0.0011190649867467,0.0785543478282755,-0.0708250150814151,0.2437313555117513,0.0005528831076799,0.0700928395637539,0,0,0,47.94486766577789,-5.081362385273275,0,0,1
1414,2006_10_CHI_NYG,38,20,58,37.0,-18.0,1.0,-0.0194767679470813,0.0201261363902093,-0.1419893641184721,-0.0936908554284321,-0.0982183682105231,-0.1053781646950617,-0.1736128247792703,-0.2350334451144111,0,0,0,38.032866348673174,3.507137567642711,1,0,1
1925,2008_16_MIA_KC,38,31,69,37.5,-7.0,-3.5,-0.05755331307489,-0.041279442824613,-0.0138745126369432,0.0771821579374047,-0.0655511765499115,0.1429324936739102,-0.0440722176299002,-0.0221809611581266,0,0,0,45.89406579655636,-2.935339964069479,0,0,1
